epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,2559.77,0.43723,0.33939,0.84023,0.87833,0.71977,0.78637,0.65833,0.48348,0.44437,0.84636,4.10059e-05,4.10059e-05,4.10059e-05
61,2598.42,0.43605,0.34032,0.84186,0.87763,0.71922,0.79152,0.65779,0.49927,0.44694,0.85645,4.0006e-05,4.0006e-05,4.0006e-05
62,2636.94,0.4343,0.34104,0.84393,0.89557,0.7231,0.79573,0.65475,0.49153,0.43775,0.85021,3.90061e-05,3.90061e-05,3.90061e-05
63,2675.29,0.42966,0.33891,0.84327,0.89837,0.71687,0.79585,0.65938,0.49059,0.43461,0.84734,3.80062e-05,3.80062e-05,3.80062e-05
64,2713.82,0.42626,0.33111,0.83651,0.91836,0.70531,0.78994,0.65806,0.49032,0.44254,0.85078,3.70063e-05,3.70063e-05,3.70063e-05
65,2752.39,0.42251,0.32665,0.83842,0.89957,0.72077,0.78904,0.65728,0.4839,0.43905,0.84851,3.60064e-05,3.60064e-05,3.60064e-05
66,2790.92,0.43896,0.3329,0.84646,0.92228,0.71827,0.79689,0.66362,0.48335,0.43928,0.84616,3.50065e-05,3.50065e-05,3.50065e-05
67,2829.72,0.4102,0.32164,0.83709,0.90694,0.72504,0.79106,0.65955,0.47733,0.42967,0.84577,3.40066e-05,3.40066e-05,3.40066e-05
68,2868.57,0.41889,0.32278,0.84251,0.8915,0.72942,0.78559,0.65375,0.48365,0.43021,0.85276,3.30067e-05,3.30067e-05,3.30067e-05
69,2907.29,0.41779,0.32616,0.84144,0.92774,0.69852,0.79651,0.66608,0.47557,0.42255,0.84977,3.20068e-05,3.20068e-05,3.20068e-05
70,2947.38,0.4178,0.32605,0.84296,0.9216,0.7043,0.79671,0.66599,0.47836,0.4135,0.84607,3.10069e-05,3.10069e-05,3.10069e-05
